participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"111","16","low","0.98","0.979949737379394","3.24609375","1","2","0","0","808","2026-01-22T13:12:52.776Z"
"111","39","medium","0.977","0.9769509870162091","2.1484375","1","3","0","0","2439","2026-01-22T13:12:55.215Z"
"111","49","high","0.987","0.9869722456157183","0.263671875","1","2","0","0","1241","2026-01-22T13:12:56.456Z"
"111","13","low","0.983","0.9829268769064661","2.578125","1","2","0","0","1414","2026-01-22T13:12:57.871Z"
"111","27","medium","0.989","0.9889133587312139","2.9296875","1","0","0","1","1488","2026-01-22T13:12:59.360Z"
"111","17","low","0.979","0.9789598836959744","3.0859375","1","1","0","0","526","2026-01-22T13:12:59.886Z"
"111","7","low","0.989","0.9890154200317084","2.59375","1","0","0","1","536","2026-01-22T13:13:00.423Z"
"111","37","medium","0.979","0.9790818126742631","1.298828125","1","3","0","0","535","2026-01-22T13:13:00.959Z"
"111","50","high","0.986","0.9860320113812564","0.537109375","1","1","0","0","679","2026-01-22T13:13:01.638Z"
"111","18","low","0.978","0.9780938463505826","1.703125","1","0","0","1","562","2026-01-22T13:13:02.200Z"
"111","22","medium","0.994","0.9939623398496052","1.03515625","1","1","0","0","478","2026-01-22T13:13:02.679Z"
"111","44","high","0.992","0.9920818834958278","0.1904296875","1","2","0","0","480","2026-01-22T13:13:03.159Z"
"111","60","high","0.976","0.9759000595592716","0.32470703125","1","0","0","1","387","2026-01-22T13:13:03.547Z"
"111","24","medium","0.992","0.992011766095836","0.4638671875","1","1","0","0","535","2026-01-22T13:13:04.082Z"
"111","26","medium","0.99","0.99005138794839","0.68359375","1","0","0","1","664","2026-01-22T13:13:04.746Z"
"111","9000","medium","0.9","0.8999586582652291","1.609375","0","0","0","1","6357","2026-01-22T13:13:11.118Z"
"111","59","high","0.977","0.9769521030893498","0.36865234375","1","3","0","0","448","2026-01-22T13:13:11.567Z"
"111","46","high","0.99","0.9899910019291416","0.263671875","1","3","0","0","247","2026-01-22T13:13:11.814Z"
"111","45","high","0.991","0.9910832676520077","0.439453125","1","2","0","0","272","2026-01-22T13:13:12.087Z"
"111","57","high","0.979","0.9789367090402131","0.4443359375","1","0","0","1","271","2026-01-22T13:13:12.358Z"
"111","48","high","0.988","0.9880398830276212","0.33203125","1","2","0","0","336","2026-01-22T13:13:12.694Z"
"111","54","high","0.982","0.9819164219238564","0.5078125","1","0","0","1","223","2026-01-22T13:13:12.919Z"
"111","25","medium","0.991","0.9909584388893398","0.751953125","1","0","0","1","175","2026-01-22T13:13:13.095Z"
"111","34","medium","0.982","0.9820110733547229","0.78857421875","1","3","0","0","151","2026-01-22T13:13:13.246Z"
"111","47","high","0.989","0.9889303613591047","0.3955078125","1","3","0","0","143","2026-01-22T13:13:13.390Z"
"111","40","medium","0.976","0.9759805315127691","0.79345703125","1","2","0","0","528","2026-01-22T13:13:13.919Z"
"111","8","low","0.988","0.9880212422472863","4.03125","1","0","0","1","127","2026-01-22T13:13:14.046Z"
"111","3","low","0.993","0.9930953600495426","2.375","1","3","0","0","456","2026-01-22T13:13:14.502Z"
"111","52","high","0.984","0.983918170682723","0.478515625","1","0","0","1","544","2026-01-22T13:13:15.046Z"
"111","53","high","0.983","0.9830214532140398","0.5078125","1","2","0","0","575","2026-01-22T13:13:15.622Z"
"111","9001","medium","0.9","0.900030411360477","2.380859375","0","1","1","1","8910","2026-01-22T13:13:24.534Z"
"111","41","high","0.995","0.9950038695626728","0.20263671875","1","1","1","1","592","2026-01-22T13:13:25.126Z"
"111","38","medium","0.978","0.9779007012300853","0.99609375","1","3","1","0","137","2026-01-22T13:13:25.264Z"
"111","1","low","0.995","0.9950183669315519","2.09375","1","0","1","0","134","2026-01-22T13:13:25.398Z"
"111","11","low","0.985","0.9850050591883573","6.8203125","1","0","1","0","167","2026-01-22T13:13:25.566Z"
"111","23","medium","0.993","0.9929969394031465","0.3466796875","1","3","1","0","352","2026-01-22T13:13:25.918Z"
"111","9","low","0.987","0.9869592551841313","2.328125","1","3","1","0","143","2026-01-22T13:13:26.062Z"
"111","12","low","0.984","0.9840076637231656","2.984375","1","1","1","1","152","2026-01-22T13:13:26.215Z"
"111","28","medium","0.988","0.9880770063295291","0.5859375","1","2","1","0","471","2026-01-22T13:13:26.686Z"
"111","33","medium","0.983","0.9829134236161968","1.025390625","1","1","1","1","144","2026-01-22T13:13:26.831Z"
"111","55","high","0.981","0.9810277110128097","0.625","1","1","1","1","127","2026-01-22T13:13:26.958Z"
"111","14","low","0.982","0.9820636871927846","3.828125","1","1","1","1","360","2026-01-22T13:13:27.319Z"
"111","36","medium","0.98","0.9799879501726435","0.84228515625","1","3","1","0","992","2026-01-22T13:13:28.311Z"
"111","43","high","0.993","0.9930610035499542","0.283203125","1","3","1","0","471","2026-01-22T13:13:28.782Z"
"111","56","high","0.98","0.9800398949975853","0.380859375","1","0","1","0","10600","2026-01-22T13:13:39.383Z"
"111","9002","medium","0.9","0.899916336520574","5.18359375","0","0","0","1","20890","2026-01-22T13:14:00.280Z"
"111","21","medium","0.995","0.9950241494248326","0.703125","1","2","0","0","2372","2026-01-22T13:14:02.653Z"
"111","51","high","0.985","0.9849993242302567","0.41259765625","1","0","0","1","121","2026-01-22T13:14:02.774Z"
"111","58","high","0.978","0.9779384170239548","0.634765625","1","0","0","1","143","2026-01-22T13:14:02.918Z"
"111","30","medium","0.986","0.986007604970564","1.2744140625","1","2","0","0","152","2026-01-22T13:14:03.070Z"
"111","42","high","0.994","0.9939669940110151","0.1953125","1","1","0","0","120","2026-01-22T13:14:03.191Z"
"111","10","low","0.986","0.9860054152602169","3.421875","1","2","0","0","679","2026-01-22T13:14:03.870Z"
"111","20","low","0.976","0.975991167139466","3.4609375","1","1","0","0","144","2026-01-22T13:14:04.014Z"
"111","31","medium","0.985","0.9850337324908233","1.6796875","1","2","0","0","136","2026-01-22T13:14:04.150Z"
"111","35","medium","0.981","0.9809530432808484","3.3984375","1","2","0","0","127","2026-01-22T13:14:04.278Z"
"111","29","medium","0.987","0.9869728420375764","1.09375","1","0","0","1","132","2026-01-22T13:14:04.411Z"
"111","19","low","0.977","0.9770266666652354","3.3984375","1","1","0","0","115","2026-01-22T13:14:04.526Z"
"111","5","low","0.991","0.9909996734623231","2.359375","1","2","0","0","128","2026-01-22T13:14:04.655Z"
"111","32","medium","0.984","0.9840115791454306","0.73486328125","1","0","0","1","136","2026-01-22T13:14:04.791Z"
"111","6","low","0.99","0.9900295524037268","4.765625","1","0","0","1","139","2026-01-22T13:14:04.930Z"
"111","2","low","0.994","0.9940003081130603","2.03125","1","2","0","0","130","2026-01-22T13:14:05.061Z"
"111","15","low","0.981","0.9810730104969385","2.703125","1","3","0","0","130","2026-01-22T13:14:05.191Z"
"111","4","low","0.992","0.9920171229906202","2.2890625","1","1","0","0","143","2026-01-22T13:14:05.334Z"