participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp
"888","20","medium","0.982","0.982161973443552","0.28125","1","34","300","diverging","constant","2","2","1","1979","2026-02-03T07:55:27.841Z"
"888","31","medium","0.982","0.9821167535809007","0.203125","1","7","100","thermal","linear","1","1","1","4665","2026-02-03T07:55:32.517Z"
"888","23","medium","0.982","0.9818198237422338","0.0703125","1","42","300","diverging","diverging","3","3","1","4677","2026-02-03T07:55:37.210Z"
"888","33","high","0.956","0.9564548784500437","0.53125","1","40","300","constant","diverging","0","0","1","2392","2026-02-03T07:55:39.625Z"
"888","37","high","0.956","0.9563994590545881","0.9375","1","26","200","diverging","diverging","2","2","1","1608","2026-02-03T07:55:41.249Z"
"888","4","low","0.954","0.9537704740024036","0.46875","1","21","200","linear","linear","0","0","1","16916","2026-02-03T07:55:58.177Z"
"888","42","high","0.956","0.9554846679492474","1","1","27","200","thermal","diverging","1","1","1","1909","2026-02-03T07:56:00.113Z"
"888","25","medium","0.982","0.9812889960850781","0.15625","1","30","200","diverging","thermal","0","0","1","3802","2026-02-03T07:56:03.930Z"
"888","28","medium","0.982","0.9812826590254781","0.21875","1","41","300","linear","diverging","1","1","1","2618","2026-02-03T07:56:06.562Z"
"888","19","medium","0.982","0.982058519301062","0.28125","1","37","300","linear","linear","3","3","1","5223","2026-02-03T07:56:11.802Z"
"888","24","medium","0.982","0.9828047791791625","0.125","1","47","300","thermal","thermal","0","0","1","2265","2026-02-03T07:56:14.082Z"
"888","6","low","0.954","0.9534661056431918","0.36328125","1","38","300","diverging","linear","1","1","1","2070","2026-02-03T07:56:16.169Z"
"888","40","high","0.956","0.9558799551246299","0.75","1","46","300","diverging","thermal","2","2","1","4214","2026-02-03T07:56:20.402Z"
"888","29","medium","0.982","0.982123440931948","0.296875","1","14","100","diverging","thermal","1","1","1","2885","2026-02-03T07:56:23.307Z"
"888","9","low","0.954","0.9542962137937114","6","1","13","100","linear","thermal","2","2","1","3586","2026-02-03T07:56:26.907Z"
"888","39","high","0.956","0.9569114537560186","1","1","35","300","thermal","constant","1","1","1","1724","2026-02-03T07:56:28.649Z"
"888","9000","medium","0.8","0.8116167684441642","7","0","0","100","constant","constant","1","1","1","2194","2026-02-03T07:56:30.858Z"
"888","13","low","0.954","0.9539738588727967","1.171875","1","25","200","linear","diverging","1","1","1","2634","2026-02-03T07:56:33.506Z"
"888","36","high","0.956","0.9555580543517431","1.5","1","16","200","constant","constant","2","2","1","2758","2026-02-03T07:56:36.281Z"
"888","3","low","0.954","0.9531244112595597","1.125","1","18","200","diverging","constant","0","0","1","5804","2026-02-03T07:56:42.105Z"
"888","44","high","0.956","0.9567109286443627","1.375","1","28","200","constant","thermal","3","3","1","1594","2026-02-03T07:56:43.714Z"
"888","48","high","0.956","0.9564152494338161","0.625","1","12","100","constant","thermal","2","2","1","2036","2026-02-03T07:56:45.769Z"
"888","30","medium","0.982","0.9824976845629575","0.3125","1","20","200","constant","linear","0","0","1","37266","2026-02-03T07:57:23.050Z"
"888","2","low","0.954","0.954113782451578","0.890625","1","39","300","thermal","linear","2","0","0","1789","2026-02-03T07:57:24.859Z"
"888","15","low","0.954","0.9549172406084446","0.796875","1","31","200","thermal","thermal","2","0","0","4296","2026-02-03T07:57:29.169Z"
"888","10","low","0.954","0.9532368249584388","0.4921875","1","32","300","constant","constant","0","0","1","2313","2026-02-03T07:57:31.490Z"
"888","21","medium","0.982","0.9820552290001162","0.40625","1","22","200","diverging","linear","2","2","1","1962","2026-02-03T07:57:33.465Z"
"888","5","low","0.954","0.9533238006059394","0.984375","1","11","100","thermal","diverging","3","3","1","6795","2026-02-03T07:57:40.274Z"
"888","8","low","0.954","0.9545223508719529","9","1","5","100","linear","linear","3","3","1","3552","2026-02-03T07:57:43.844Z"
"888","35","high","0.956","0.9552485883168058","3.5","1","8","100","constant","diverging","0","0","1","2497","2026-02-03T07:57:46.354Z"
"888","38","high","0.956","0.9563266680416711","0.11328125","1","19","200","thermal","constant","2","1","0","7267","2026-02-03T07:57:53.633Z"
"888","34","high","0.956","0.9551622130626082","4","1","33","300","linear","constant","2","2","1","2210","2026-02-03T07:57:55.857Z"
"888","1","low","0.954","0.9536204082435134","0.75","1","0","100","constant","constant","3","3","1","12319","2026-02-03T07:58:08.195Z"
"888","12","low","0.954","0.9542165702083777","0.41015625","1","6","100","diverging","linear","1","1","1","2857","2026-02-03T07:58:11.065Z"
"888","9001","medium","0.8","0.8585577026561126","6","0","0","100","constant","constant","1","1","1","4659","2026-02-03T07:58:15.740Z"
"888","7","low","0.954","0.9540386590864871","0.5390625","1","24","200","constant","diverging","1","1","1","4537","2026-02-03T07:58:20.289Z"
"888","17","medium","0.982","0.982124465290047","0.21875","1","43","300","thermal","diverging","3","1","0","2291","2026-02-03T07:58:22.595Z"
"888","43","high","0.956","0.9557288481289684","0.5625","1","2","100","diverging","constant","1","1","1","1165","2026-02-03T07:58:23.778Z"
"888","47","high","0.956","0.9562546874064779","0.46875","1","4","100","constant","linear","1","1","1","1264","2026-02-03T07:58:25.058Z"
"888","22","medium","0.982","0.9829417001395466","0.25","1","23","200","thermal","linear","2","2","1","2352","2026-02-03T07:58:27.425Z"
"888","27","medium","0.982","0.98227803676851","0.3125","1","44","300","constant","thermal","3","3","1","2053","2026-02-03T07:58:29.498Z"
"888","45","high","0.956","0.9562543314979628","0.390625","1","17","200","linear","constant","3","3","1","2829","2026-02-03T07:58:32.337Z"
"888","16","low","0.954","0.9536270346529094","11.8125","1","29","200","linear","thermal","1","3","0","2919","2026-02-03T07:58:35.265Z"
"888","26","medium","0.982","0.9815204149500439","0.15625","1","45","300","linear","thermal","1","3","0","1363","2026-02-03T07:58:36.634Z"
"888","46","high","0.956","0.9556877548139764","0.75","1","36","300","constant","linear","3","3","1","1897","2026-02-03T07:58:38.537Z"
"888","11","low","0.954","0.9542292196623917","0.984375","1","10","100","diverging","diverging","0","0","1","7934","2026-02-03T07:58:46.482Z"
"888","32","medium","0.982","0.9815787932897818","0.265625","1","3","100","thermal","constant","2","2","1","4310","2026-02-03T07:58:50.801Z"
"888","41","high","0.956","0.9563069556625609","1","1","1","100","linear","constant","1","1","1","2226","2026-02-03T07:58:53.033Z"
"888","18","medium","0.982","0.9810966372251231","0.28125","1","15","100","thermal","thermal","2","2","1","3162","2026-02-03T07:58:56.201Z"
"888","14","low","0.954","0.954911749015699","0.6328125","1","9","100","linear","diverging","1","3","0","4962","2026-02-03T07:59:01.169Z"
"888","9002","medium","0.8","0.8333539899661768","7","0","0","100","constant","constant","1","1","1","1994","2026-02-03T07:59:03.170Z"